"cost","logcost","DOTestimate","logDOTestimate","bid"
1379.4,7.229,1386.3,7.234,"fixed"
134,4.898,85.7,4.451,"fixed"
202.3,5.31,248.9,5.517,"competitive"
397.1,5.984,467.5,6.147,"competitive"
158.5,5.066,117.7,4.768,"fixed"
1128.1,7.028,1008.9,6.917,"fixed"
400.3,5.992,473,6.159,"fixed"
581.6,6.366,785.4,6.666,"competitive"
354,5.869,370,5.914,"competitive"
138.7,4.932,174.3,5.161,"competitive"
383.7,5.95,410.9,6.018,"fixed"
3910.9,8.272,3405.9,8.133,"fixed"
362.9,5.894,386,5.956,"competitive"
196.5,5.281,235.4,5.461,"competitive"
638,6.458,627.4,6.442,"competitive"
152.1,5.025,175.4,5.167,"fixed"
375,5.927,432.3,6.069,"competitive"
2284.6,7.734,1499,7.313,"fixed"
551.5,6.313,497.7,6.21,"fixed"
239.7,5.479,194.7,5.271,"fixed"
207.9,5.337,168,5.124,"fixed"
640.5,6.462,767.8,6.644,"competitive"
230.5,5.44,260.3,5.562,"fixed"
299.9,5.703,247,5.509,"fixed"
2368.8,7.77,2456.8,7.807,"competitive"
496.5,6.208,879.4,6.779,"competitive"
1564.9,7.356,1303.4,7.173,"fixed"
7387,8.907,6107.9,8.717,"competitive"
195.7,5.277,199.1,5.294,"competitive"
830.5,6.722,715.5,6.573,"fixed"
179.1,5.188,208.7,5.341,"competitive"
150.3,5.013,199.1,5.294,"competitive"
240.1,5.481,429.2,6.062,"competitive"
586.8,6.375,709.9,6.565,"competitive"
537.2,6.286,676.4,6.517,"competitive"
392.7,5.973,490.6,6.196,"competitive"
216.5,5.378,406.5,6.008,"competitive"
1559.4,7.352,1925.3,7.563,"competitive"
88.3,4.481,143.1,4.964,"competitive"
268.4,5.592,308.1,5.73,"competitive"
189,5.242,269.6,5.597,"competitive"
192.8,5.262,227.7,5.428,"competitive"
256.2,5.546,436.8,6.079,"competitive"
113.6,4.733,132.4,4.886,"competitive"
125,4.828,121.6,4.801,"competitive"
116.6,4.759,114.2,4.738,"competitive"
143.1,4.964,172.7,5.152,"competitive"
36.2,3.589,64.4,4.165,"competitive"
2518.4,7.831,3124.4,8.047,"competitive"
1353.5,7.21,1617.5,7.389,"competitive"
332.8,5.808,376.4,5.931,"competitive"
202.5,5.311,300.3,5.705,"competitive"
6043.3,8.707,7075,8.864,"competitive"
2280.8,7.732,2823.9,7.946,"competitive"
99.9,4.604,119,4.779,"fixed"
1461.6,7.287,1774.7,7.481,"competitive"
1217.6,7.105,1341.1,7.201,"competitive"
258.4,5.555,306.4,5.725,"competitive"
115.4,4.748,117.9,4.77,"competitive"
463.9,6.14,540,6.292,"competitive"
728.9,6.592,763,6.637,"competitive"
3929.9,8.276,3941.6,8.279,"competitive"
181.7,5.202,194.8,5.272,"competitive"
479.5,6.173,487.2,6.189,"competitive"
93.5,4.538,92.4,4.526,"competitive"
2301.1,7.741,2505.6,7.826,"competitive"
136.1,4.913,181.1,5.199,"competitive"
144.1,4.971,252.9,5.533,"competitive"
65.2,4.177,84.8,4.44,"competitive"
161.3,5.083,164,5.1,"competitive"
1138.5,7.037,1254.6,7.135,"competitive"
84.8,4.44,97.6,4.581,"competitive"
749.1,6.619,859.3,6.756,"competitive"
43.7,3.777,41.1,3.716,"competitive"
2920.7,7.98,2812.5,7.942,"competitive"
32.6,3.484,40,3.689,"competitive"
1115.1,7.017,1148.5,7.046,"competitive"
50.7,3.926,59.9,4.093,"competitive"
2229.3,7.709,2434.6,7.798,"competitive"
2159.8,7.678,2698.6,7.9,"competitive"
45.9,3.826,61.9,4.126,"competitive"
127.3,4.847,137.5,4.924,"competitive"
147.8,4.996,143.3,4.965,"fixed"
470.7,6.154,447.8,6.104,"competitive"
188.7,5.24,202.5,5.311,"competitive"
4765.2,8.469,5035.9,8.524,"competitive"
168.5,5.127,163.7,5.098,"competitive"
95.9,4.563,95.6,4.56,"competitive"
106.9,4.672,107.9,4.681,"competitive"
698.5,6.549,646.4,6.471,"competitive"
796,6.68,969.7,6.877,"competitive"
689.7,6.536,801.6,6.687,"competitive"
831.8,6.724,906.8,6.81,"competitive"
2150.2,7.673,2161.4,7.679,"competitive"
169.8,5.135,187.3,5.233,"competitive"
923.6,6.828,887.4,6.788,"competitive"
2527.5,7.835,2616.8,7.87,"competitive"
726.6,6.588,778.3,6.657,"competitive"
1187.1,7.079,1573.5,7.361,"competitive"
138,4.927,149.3,5.006,"competitive"
147.6,4.995,162.2,5.089,"competitive"
94.2,4.545,116.1,4.754,"competitive"
580.5,6.364,675.4,6.515,"competitive"
445.5,6.099,435,6.075,"competitive"
110.5,4.705,120.1,4.788,"competitive"
45.2,3.811,68.3,4.224,"competitive"
800.6,6.685,1031.5,6.939,"competitive"
495.5,6.206,541.8,6.295,"competitive"
1370.1,7.223,1377.9,7.228,"competitive"
607.5,6.409,809.1,6.696,"competitive"
152.7,5.028,161.2,5.083,"competitive"
728.2,6.591,917,6.821,"competitive"
181.6,5.202,146.5,4.987,"competitive"
462.9,6.138,504.8,6.224,"competitive"
169.4,5.132,144.5,4.973,"competitive"
2473.3,7.813,2618.2,7.87,"competitive"
2346.8,7.761,2447.8,7.803,"competitive"
170.4,5.138,196.8,5.282,"competitive"
77.8,4.354,109.9,4.7,"competitive"
4770.9,8.47,7511.3,8.924,"competitive"
303.3,5.715,341.2,5.832,"competitive"
396,5.981,419,6.038,"competitive"
150.6,5.015,174.5,5.162,"competitive"
1404.1,7.247,1573.8,7.361,"competitive"
1691.7,7.433,1627.1,7.395,"competitive"
5196.2,8.556,6365.1,8.759,"competitive"
3815.9,8.247,4960.8,8.509,"competitive"
122.6,4.809,95.4,4.558,"competitive"
1571.2,7.36,1759.2,7.473,"competitive"
4385.5,8.386,5556.8,8.623,"competitive"
4497.6,8.411,5186.3,8.554,"competitive"
23.7,3.165,32.5,3.481,"competitive"
1048.9,6.955,1040.5,6.947,"competitive"
239.5,5.479,315.1,5.753,"competitive"
260.6,5.563,351.8,5.863,"competitive"
138.9,4.934,123.3,4.815,"competitive"
128.4,4.855,151.9,5.023,"competitive"
285,5.652,316,5.756,"competitive"
77.3,4.348,101,4.615,"competitive"
5411.5,8.596,5086.3,8.534,"competitive"
3864.6,8.26,3991,8.292,"competitive"
2976,7.998,2832.4,7.949,"competitive"
257.5,5.551,205.9,5.327,"fixed"
36.4,3.595,42,3.738,"competitive"
182.5,5.207,223.1,5.408,"competitive"
1367.1,7.22,1433.6,7.268,"competitive"
76.8,4.341,75.3,4.321,"fixed"
1747.9,7.466,1493.5,7.309,"competitive"
5734.4,8.654,5427.3,8.599,"competitive"
5884.7,8.68,6097.4,8.716,"competitive"
346.5,5.848,331.1,5.802,"competitive"
646.4,6.471,818.5,6.707,"competitive"
760.8,6.634,718.2,6.577,"fixed"
169.8,5.135,175.9,5.17,"fixed"
138.8,4.933,151.6,5.021,"competitive"
346.8,5.849,394.2,5.977,"competitive"
1082.2,6.987,1085.9,6.99,"competitive"
253.7,5.536,270.9,5.602,"competitive"
433.1,6.071,545.3,6.301,"competitive"
10270.5,9.237,10467.4,9.256,"competitive"
1398,7.243,1414.7,7.255,"competitive"
2140.9,7.669,2152,7.674,"competitive"
6584.1,8.792,5949.4,8.691,"competitive"
666.8,6.502,641.5,6.464,"competitive"
108.1,4.683,99.6,4.601,"competitive"
106.1,4.664,95.3,4.557,"competitive"
549.6,6.309,413.1,6.024,"fixed"
1272,7.148,949.5,6.856,"fixed"
122.8,4.811,132.3,4.885,"competitive"
359.4,5.884,333.4,5.809,"competitive"
1731.5,7.457,1672.5,7.422,"competitive"
31.7,3.456,28.3,3.343,"competitive"
3300,8.102,2805.9,7.939,"fixed"
480.6,6.175,480.3,6.174,"competitive"
673.1,6.512,655.8,6.486,"competitive"
117,4.762,99.9,4.604,"fixed"
1157.4,7.054,891.2,6.793,"fixed"
166.8,5.117,132,4.883,"fixed"
668.5,6.505,596.9,6.392,"fixed"
7622.2,8.939,7871.2,8.971,"competitive"
201.3,5.305,182.9,5.209,"competitive"
1270.1,7.147,1306.3,7.175,"fixed"
1055.1,6.961,1148.7,7.046,"competitive"
5212.2,8.559,5090.9,8.535,"competitive"
5654.9,8.64,5447.6,8.603,"fixed"
856.5,6.753,938.1,6.844,"competitive"
89,4.489,66.1,4.191,"fixed"
200,5.298,169,5.13,"fixed"
234,5.455,179.7,5.191,"competitive"
116.6,4.759,125.8,4.835,"competitive"
82.1,4.408,93,4.533,"competitive"
207.8,5.337,214.3,5.367,"competitive"
463.3,6.138,474.9,6.163,"competitive"
7385.6,8.907,8460.9,9.043,"competitive"
91.7,4.519,100.3,4.608,"competitive"
546.2,6.303,622.9,6.434,"competitive"
740.3,6.607,810.3,6.697,"competitive"
888.4,6.789,883.3,6.784,"fixed"
656.8,6.487,750.8,6.621,"fixed"
1884.4,7.541,1550.5,7.346,"fixed"
4448.1,8.4,4197.8,8.342,"fixed"
258.2,5.554,181.9,5.203,"fixed"
1949.6,7.575,1880.8,7.539,"fixed"
235.3,5.461,230.8,5.442,"fixed"
35.2,3.561,39.2,3.669,"competitive"
244.8,5.5,221.9,5.402,"fixed"
648.9,6.475,563.9,6.335,"fixed"
391.5,5.97,358.5,5.882,"fixed"
267.8,5.59,249.9,5.521,"fixed"
2130,7.664,2019.9,7.611,"competitive"
301.2,5.708,303.2,5.714,"fixed"
1077.9,6.983,878.7,6.778,"fixed"
927.4,6.832,902,6.805,"competitive"
241.7,5.488,244,5.497,"fixed"
65.8,4.187,82.4,4.412,"competitive"
1208.4,7.097,1230.3,7.115,"competitive"
9453.4,9.154,9479.7,9.157,"competitive"
7098.1,8.868,8296.8,9.024,"competitive"
912.1,6.816,1137.7,7.037,"competitive"
260,5.561,319.6,5.767,"fixed"
8992.3,9.104,10743.6,9.282,"competitive"
339.9,5.829,428.8,6.061,"competitive"
833.7,6.726,859.7,6.757,"fixed"
4833.8,8.483,6225,8.736,"competitive"
271.9,5.605,223.9,5.411,"fixed"
2966.3,7.995,4433.5,8.397,"competitive"
577.4,6.359,701.1,6.553,"competitive"
10480.3,9.257,10276.3,9.238,"competitive"
462.4,6.136,444.2,6.096,"competitive"
2558.2,7.847,2741.1,7.916,"competitive"
2814.9,7.943,2816.7,7.943,"competitive"
119.8,4.786,122.2,4.806,"competitive"
3184.9,8.066,3373,8.124,"competitive"
473.2,6.16,548,6.306,"competitive"
400.5,5.993,496.7,6.208,"competitive"
